relative_path,line_number,hardcode_type,matched_text,suggested_parameter,risk_level,notes
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,19,32track_name,"(""random_scan_1"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_1\Job_2D_32track_random_scan_1_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,20,32track_name,"(""random_scan_2"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_2\Job_2D_32track_random_scan_2_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,21,32track_name,"(""random_scan_3"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_3\Job_2D_32track_random_scan_3_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,22,32track_name,"(""random_scan_4"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_4\Job_2D_32track_random_scan_4_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,23,32track_name,"(""random_scan_5"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_5\Job_2D_32track_random_scan_5_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,24,32track_name,"(""random_scan_6"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_6\Job_2D_32track_random_scan_6_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,25,32track_name,"(""random_scan_7"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_7\Job_2D_32track_random_scan_7_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,26,32track_name,"(""random_scan_8"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_8\Job_2D_32track_random_scan_8_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,27,32track_name,"(""random_scan_9"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_9\Job_2D_32track_random_scan_9_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,28,32track_name,"(""random_scan_10"", r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_10\Job_2D_32track_random_scan_10_finalcool_v01.odb""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\inspect_random_scan_3_odb_readability.py,6,32track_name,"ODB_PATH = r""D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_full\teacher_pool_full20_v01\random_scan_3\Job_2D_32track_random_scan_3_finalcool_v01.odb""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,29,postprocess_32,"from data.teacher_label_loader import canonicalize_order, load_teacher_labels",postprocessing parameterized by N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,33,32track_name,"EXTRA20_ROOT = FRAMEWORK_DIR / ""cae_models"" / ""32track_full"" / BATCH_NAME",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,34,32track_name,"EXISTING_BATCH_ROOT = FRAMEWORK_DIR / ""cae_models"" / ""32track_full"" / ""method_c_teacher_batch_v01""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,35,32track_name,"FULL20_ROOT = FRAMEWORK_DIR / ""cae_models"" / ""32track_full""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,42,postprocess_32,"/ ""teacher_labels""",postprocessing parameterized by N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,43,postprocess_32,"/ ""full20_teacher_labels.csv""",postprocessing parameterized by N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,106,postprocess_32,rows = load_teacher_labels(TEACHER_LABEL_CSV),postprocessing parameterized by N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,148,32track_name,"cae_path = folder / f""method_c_{candidate_id}_32track_finalcool_v01.cae""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,160,range32,permutation_checks.append(sorted(order) == list(range(32))),track_count / range(track_count),high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,177,range32,"""order_is_permutation"": sorted(order) == list(range(32)),",track_count / range(track_count),high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,462,32track_name,"return f""Job_2D_32track_method_c_{candidate_id}_v01""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_full20_inp_jobs_with_gui.py,37,32track_name,"POOL_ROOT = FRAMEWORK_DIR / ""cae_models"" / ""32track_full"" / ""teacher_pool_full20_v01""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_full20_inp_jobs_with_gui.py,505,domain_width_literal,"ttk.Label(top, textvariable=self.vars[key], width=34).grid(row=i // 3, column=(i % 3) * 2 + 1, sticky=""w"", padx=4, pady=2)",domain_width from N and pitch,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,24,32track_name,"ROOT = FRAMEWORK_DIR / ""cae_models"" / ""32track_full""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,30,32track_name,"""cae_name"": ""raster_left_to_right_32track_finalcool_v01.cae"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,31,32track_name,"""job_name"": ""Job_2D_32track_raster_left_to_right_finalcool_v01"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,36,32track_name,"""cae_name"": ""center_out_32track_finalcool_v01.cae"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,37,32track_name,"""job_name"": ""Job_2D_32track_center_out_finalcool_v01"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,42,32track_name,"""cae_name"": ""edge_in_32track_finalcool_v01.cae"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,43,32track_name,"""job_name"": ""Job_2D_32track_edge_in_finalcool_v01"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,5,32track_name,"32-track scan/cool/final-cooling model is present, creates only the v02 job,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,31,32track_name,"FRAMEWORK_DIR, ""cae_models"", ""32track_full"", ""sanity_base""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,34,32track_name,"INPUT_CAE = os.path.join(SANITY_DIR, ""sanity_base_32track_finalcool_v02.cae"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,35,32track_name,"JOBREADY_CAE = os.path.join(SANITY_DIR, ""sanity_base_32track_finalcool_v02_jobready.cae"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,36,32track_name,"JOB_NAME = ""Job_2D_32track_full_finalcool_v02""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,40,track_count,TRACK_COUNT = 32,track_count,high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,66,32track_name,"preferred = ""Model_2D_LDEL_32track""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,2,32track_name,"""""""Write input and run Abaqus datacheck for the completed 2D 32-track model.",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,5,32track_name,abaqus cae noGUI=validate_2d_32track_finalcool_writeinp_datacheck.py,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,29,32track_name,"FRAMEWORK_DIR, ""cae_models"", ""32track_full"", ""sanity_base""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,32,32track_name,"COMPLETED_CAE = os.path.join(SANITY_DIR, ""sanity_base_32track_finalcool_v01.cae"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,34,32track_name,"SANITY_DIR, ""sanity_base_32track_finalcool_v01_datacheck_report.md""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,37,32track_name,"SANITY_DIR, ""sanity_base_32track_finalcool_v01_datacheck_manifest.json""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,40,32track_name,"MODEL_NAME = ""Model_2D_LDEL_32track""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,41,32track_name,"JOB_NAME = ""Job_2D_32track_full_finalcool_v01""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,44,track_count,TRACK_COUNT = 32,track_count,high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,499,32track_name,"lines.append(""# 2D 32-track final-cooling input/datacheck report"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,5,32track_name,"full 32-track final-cooling model, confirms or recreates only the expected job",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,26,32track_name,"ROOT = os.path.join(FRAMEWORK_DIR, ""cae_models"", ""32track_full"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,27,32track_name,"PREFERRED_MODEL_NAME = ""Model_2D_LDEL_32track""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,28,track_count,TRACK_COUNT = 32,track_count,high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,40,32track_name,"""cae_name"": ""raster_left_to_right_32track_finalcool_v01.cae"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,41,32track_name,"""job_name"": ""Job_2D_32track_raster_left_to_right_finalcool_v01"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,46,32track_name,"""cae_name"": ""center_out_32track_finalcool_v01.cae"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,47,32track_name,"""job_name"": ""Job_2D_32track_center_out_finalcool_v01"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,52,32track_name,"""cae_name"": ""edge_in_32track_finalcool_v01.cae"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,53,32track_name,"""job_name"": ""Job_2D_32track_edge_in_finalcool_v01"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,85,fixed_arrays_32,"if all(s in step_names for s in [""step_scan_00"", ""step_scan_31"", ""step_cool_00"", ""step_cool_31"", FINAL_STEP]):",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,90,fixed_arrays_32,"if all(s in step_names for s in [""step_scan_00"", ""step_scan_31"", ""step_cool_00"", ""step_cool_31"", FINAL_STEP]):",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,92,32track_name,"raise RuntimeError(""No model contains the expected full 32-track step sequence. Models: %s"" % names)",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,15,32track_name,mdb.models['Model_2D_LDEL_32track'].boundaryConditions['bc_point_x'].suppress(),n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,16,32track_name,"mdb.models['Model_2D_LDEL_32track'].DisplacementBC(amplitude=UNSET,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,19,32track_name,vertices=mdb.models['Model_2D_LDEL_32track'].rootAssembly.instances['part_plate-1'].vertices.getSequenceFromMask(,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,22,32track_name,del mdb.models['Model_2D_LDEL_32track'].loads['load_body_hflux_00'],n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,23,32track_name,del mdb.models['Model_2D_LDEL_32track'].steps['step_cool_00'],n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,24,32track_name,del mdb.models['Model_2D_LDEL_32track'].steps['step_scan_00'],n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,25,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,28,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,31,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,34,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,37,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,40,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,43,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,46,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,49,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,52,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,55,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,58,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,61,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,64,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,67,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,70,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,73,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,76,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,79,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,82,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,85,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,88,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,91,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,94,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,97,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,100,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,103,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,106,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,109,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,112,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,115,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,118,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,121,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,124,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,127,32track_name,"mdb.models['Model_2D_LDEL_32track'].CoupledTempDisplacementStep(deltmx=400.0,",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
