N,ranking_view,top_k,family_label,occupancy_count,top_k_size,occupancy_fraction,claim_role
N24,Mises,10,recovery_anchor,1,10,0.100000,native_within_N_claim_scope
N24,Mises,10,penalty_repair,0,10,0.000000,native_within_N_claim_scope
N24,Mises,10,method_c,0,10,0.000000,native_within_N_claim_scope
N24,Mises,10,other,0,10,0.000000,native_within_N_claim_scope
N24,u2_primary,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N24,u2_primary,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N24,u2_primary,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N24,u2_primary,5,uncertainty,1,5,0.200000,native_within_N_claim_scope
N24,u2_primary,5,diversity,0,5,0.000000,native_within_N_claim_scope
N24,u2_primary,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N24,u2_primary,5,penalty_repair,2,5,0.400000,native_within_N_claim_scope
N24,u2_primary,5,method_c,0,5,0.000000,native_within_N_claim_scope
N24,u2_primary,5,other,2,5,0.400000,native_within_N_claim_scope
N24,u2_primary,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N24,u2_primary,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N24,u2_primary,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N24,u2_primary,10,uncertainty,1,10,0.100000,native_within_N_claim_scope
N24,u2_primary,10,diversity,0,10,0.000000,native_within_N_claim_scope
N24,u2_primary,10,recovery_anchor,0,10,0.000000,native_within_N_claim_scope
N24,u2_primary,10,penalty_repair,7,10,0.700000,native_within_N_claim_scope
N24,u2_primary,10,method_c,0,10,0.000000,native_within_N_claim_scope
N24,u2_primary,10,other,2,10,0.200000,native_within_N_claim_scope
N24,constrained_reward,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N24,constrained_reward,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N24,constrained_reward,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N24,constrained_reward,5,uncertainty,2,5,0.400000,native_within_N_claim_scope
N24,constrained_reward,5,diversity,0,5,0.000000,native_within_N_claim_scope
N24,constrained_reward,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N24,constrained_reward,5,penalty_repair,3,5,0.600000,native_within_N_claim_scope
N24,constrained_reward,5,method_c,0,5,0.000000,native_within_N_claim_scope
N24,constrained_reward,5,other,0,5,0.000000,native_within_N_claim_scope
N24,constrained_reward,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N24,constrained_reward,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N24,constrained_reward,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N24,constrained_reward,10,uncertainty,2,10,0.200000,native_within_N_claim_scope
N24,constrained_reward,10,diversity,0,10,0.000000,native_within_N_claim_scope
N24,constrained_reward,10,recovery_anchor,0,10,0.000000,native_within_N_claim_scope
N24,constrained_reward,10,penalty_repair,6,10,0.600000,native_within_N_claim_scope
N24,constrained_reward,10,method_c,0,10,0.000000,native_within_N_claim_scope
N24,constrained_reward,10,other,2,10,0.200000,native_within_N_claim_scope
N24,strict_penalty_guard,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,5,uncertainty,2,5,0.400000,native_within_N_claim_scope
N24,strict_penalty_guard,5,diversity,0,5,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,5,penalty_repair,3,5,0.600000,native_within_N_claim_scope
N24,strict_penalty_guard,5,method_c,0,5,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,5,other,0,5,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,10,uncertainty,3,10,0.300000,native_within_N_claim_scope
N24,strict_penalty_guard,10,diversity,0,10,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,10,recovery_anchor,0,10,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,10,penalty_repair,7,10,0.700000,native_within_N_claim_scope
N24,strict_penalty_guard,10,method_c,0,10,0.000000,native_within_N_claim_scope
N24,strict_penalty_guard,10,other,0,10,0.000000,native_within_N_claim_scope
N24,penalty_repair,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N24,penalty_repair,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N24,penalty_repair,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N24,penalty_repair,5,uncertainty,3,5,0.600000,native_within_N_claim_scope
N24,penalty_repair,5,diversity,0,5,0.000000,native_within_N_claim_scope
N24,penalty_repair,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N24,penalty_repair,5,penalty_repair,2,5,0.400000,native_within_N_claim_scope
N24,penalty_repair,5,method_c,0,5,0.000000,native_within_N_claim_scope
N24,penalty_repair,5,other,0,5,0.000000,native_within_N_claim_scope
N24,penalty_repair,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N24,penalty_repair,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N24,penalty_repair,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N24,penalty_repair,10,uncertainty,3,10,0.300000,native_within_N_claim_scope
N24,penalty_repair,10,diversity,0,10,0.000000,native_within_N_claim_scope
N24,penalty_repair,10,recovery_anchor,0,10,0.000000,native_within_N_claim_scope
N24,penalty_repair,10,penalty_repair,7,10,0.700000,native_within_N_claim_scope
N24,penalty_repair,10,method_c,0,10,0.000000,native_within_N_claim_scope
N24,penalty_repair,10,other,0,10,0.000000,native_within_N_claim_scope
N40,U2,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N40,U2,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N40,U2,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N40,U2,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N40,U2,5,diversity,0,5,0.000000,native_within_N_claim_scope
N40,U2,5,recovery_anchor,1,5,0.200000,native_within_N_claim_scope
N40,U2,5,penalty_repair,4,5,0.800000,native_within_N_claim_scope
N40,U2,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,U2,5,other,0,5,0.000000,native_within_N_claim_scope
N40,U2,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N40,U2,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N40,U2,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N40,U2,10,uncertainty,0,10,0.000000,native_within_N_claim_scope
N40,U2,10,diversity,0,10,0.000000,native_within_N_claim_scope
N40,U2,10,recovery_anchor,3,10,0.300000,native_within_N_claim_scope
N40,U2,10,penalty_repair,7,10,0.700000,native_within_N_claim_scope
N40,U2,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,U2,10,other,0,10,0.000000,native_within_N_claim_scope
N40,PEEQ,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N40,PEEQ,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N40,PEEQ,5,surrogate_guided,2,5,0.400000,native_within_N_claim_scope
N40,PEEQ,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N40,PEEQ,5,diversity,3,5,0.600000,native_within_N_claim_scope
N40,PEEQ,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N40,PEEQ,5,penalty_repair,0,5,0.000000,native_within_N_claim_scope
N40,PEEQ,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,PEEQ,5,other,0,5,0.000000,native_within_N_claim_scope
N40,PEEQ,10,engineering_baseline,1,10,0.100000,native_within_N_claim_scope
N40,PEEQ,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N40,PEEQ,10,surrogate_guided,3,10,0.300000,native_within_N_claim_scope
N40,PEEQ,10,uncertainty,1,10,0.100000,native_within_N_claim_scope
N40,PEEQ,10,diversity,4,10,0.400000,native_within_N_claim_scope
N40,PEEQ,10,recovery_anchor,0,10,0.000000,native_within_N_claim_scope
N40,PEEQ,10,penalty_repair,0,10,0.000000,native_within_N_claim_scope
N40,PEEQ,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,PEEQ,10,other,1,10,0.100000,native_within_N_claim_scope
N40,SurfaceT,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N40,SurfaceT,5,graph_pointer_or_gnn_rl,1,5,0.200000,native_within_N_claim_scope
N40,SurfaceT,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N40,SurfaceT,5,uncertainty,1,5,0.200000,native_within_N_claim_scope
N40,SurfaceT,5,diversity,0,5,0.000000,native_within_N_claim_scope
N40,SurfaceT,5,recovery_anchor,3,5,0.600000,native_within_N_claim_scope
N40,SurfaceT,5,penalty_repair,0,5,0.000000,native_within_N_claim_scope
N40,SurfaceT,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,SurfaceT,5,other,0,5,0.000000,native_within_N_claim_scope
N40,SurfaceT,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N40,SurfaceT,10,graph_pointer_or_gnn_rl,1,10,0.100000,native_within_N_claim_scope
N40,SurfaceT,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N40,SurfaceT,10,uncertainty,2,10,0.200000,native_within_N_claim_scope
N40,SurfaceT,10,diversity,0,10,0.000000,native_within_N_claim_scope
N40,SurfaceT,10,recovery_anchor,6,10,0.600000,native_within_N_claim_scope
N40,SurfaceT,10,penalty_repair,1,10,0.100000,native_within_N_claim_scope
N40,SurfaceT,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,SurfaceT,10,other,0,10,0.000000,native_within_N_claim_scope
N40,Mises,5,engineering_baseline,3,5,0.600000,native_within_N_claim_scope
N40,Mises,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N40,Mises,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N40,Mises,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N40,Mises,5,diversity,2,5,0.400000,native_within_N_claim_scope
N40,Mises,5,recovery_anchor,0,5,0.000000,native_within_N_claim_scope
N40,Mises,5,penalty_repair,0,5,0.000000,native_within_N_claim_scope
N40,Mises,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,Mises,5,other,0,5,0.000000,native_within_N_claim_scope
N40,Mises,10,engineering_baseline,3,10,0.300000,native_within_N_claim_scope
N40,Mises,10,graph_pointer_or_gnn_rl,1,10,0.100000,native_within_N_claim_scope
N40,Mises,10,surrogate_guided,1,10,0.100000,native_within_N_claim_scope
N40,Mises,10,uncertainty,1,10,0.100000,native_within_N_claim_scope
N40,Mises,10,diversity,3,10,0.300000,native_within_N_claim_scope
N40,Mises,10,recovery_anchor,1,10,0.100000,native_within_N_claim_scope
N40,Mises,10,penalty_repair,0,10,0.000000,native_within_N_claim_scope
N40,Mises,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,Mises,10,other,0,10,0.000000,native_within_N_claim_scope
N40,u2_primary,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N40,u2_primary,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N40,u2_primary,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N40,u2_primary,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N40,u2_primary,5,diversity,0,5,0.000000,native_within_N_claim_scope
N40,u2_primary,5,recovery_anchor,2,5,0.400000,native_within_N_claim_scope
N40,u2_primary,5,penalty_repair,3,5,0.600000,native_within_N_claim_scope
N40,u2_primary,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,u2_primary,5,other,0,5,0.000000,native_within_N_claim_scope
N40,u2_primary,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N40,u2_primary,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N40,u2_primary,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N40,u2_primary,10,uncertainty,0,10,0.000000,native_within_N_claim_scope
N40,u2_primary,10,diversity,0,10,0.000000,native_within_N_claim_scope
N40,u2_primary,10,recovery_anchor,4,10,0.400000,native_within_N_claim_scope
N40,u2_primary,10,penalty_repair,6,10,0.600000,native_within_N_claim_scope
N40,u2_primary,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,u2_primary,10,other,0,10,0.000000,native_within_N_claim_scope
N40,constrained_reward,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N40,constrained_reward,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N40,constrained_reward,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N40,constrained_reward,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N40,constrained_reward,5,diversity,0,5,0.000000,native_within_N_claim_scope
N40,constrained_reward,5,recovery_anchor,2,5,0.400000,native_within_N_claim_scope
N40,constrained_reward,5,penalty_repair,3,5,0.600000,native_within_N_claim_scope
N40,constrained_reward,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,constrained_reward,5,other,0,5,0.000000,native_within_N_claim_scope
N40,constrained_reward,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N40,constrained_reward,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N40,constrained_reward,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N40,constrained_reward,10,uncertainty,0,10,0.000000,native_within_N_claim_scope
N40,constrained_reward,10,diversity,0,10,0.000000,native_within_N_claim_scope
N40,constrained_reward,10,recovery_anchor,3,10,0.300000,native_within_N_claim_scope
N40,constrained_reward,10,penalty_repair,7,10,0.700000,native_within_N_claim_scope
N40,constrained_reward,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,constrained_reward,10,other,0,10,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,5,diversity,0,5,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,5,recovery_anchor,2,5,0.400000,native_within_N_claim_scope
N40,strict_penalty_guard,5,penalty_repair,3,5,0.600000,native_within_N_claim_scope
N40,strict_penalty_guard,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,5,other,0,5,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,10,uncertainty,0,10,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,10,diversity,0,10,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,10,recovery_anchor,3,10,0.300000,native_within_N_claim_scope
N40,strict_penalty_guard,10,penalty_repair,7,10,0.700000,native_within_N_claim_scope
N40,strict_penalty_guard,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,strict_penalty_guard,10,other,0,10,0.000000,native_within_N_claim_scope
N40,penalty_repair,5,engineering_baseline,0,5,0.000000,native_within_N_claim_scope
N40,penalty_repair,5,graph_pointer_or_gnn_rl,0,5,0.000000,native_within_N_claim_scope
N40,penalty_repair,5,surrogate_guided,0,5,0.000000,native_within_N_claim_scope
N40,penalty_repair,5,uncertainty,0,5,0.000000,native_within_N_claim_scope
N40,penalty_repair,5,diversity,0,5,0.000000,native_within_N_claim_scope
N40,penalty_repair,5,recovery_anchor,1,5,0.200000,native_within_N_claim_scope
N40,penalty_repair,5,penalty_repair,4,5,0.800000,native_within_N_claim_scope
N40,penalty_repair,5,method_c,0,5,0.000000,native_within_N_claim_scope
N40,penalty_repair,5,other,0,5,0.000000,native_within_N_claim_scope
N40,penalty_repair,10,engineering_baseline,0,10,0.000000,native_within_N_claim_scope
N40,penalty_repair,10,graph_pointer_or_gnn_rl,0,10,0.000000,native_within_N_claim_scope
N40,penalty_repair,10,surrogate_guided,0,10,0.000000,native_within_N_claim_scope
N40,penalty_repair,10,uncertainty,0,10,0.000000,native_within_N_claim_scope
N40,penalty_repair,10,diversity,0,10,0.000000,native_within_N_claim_scope
N40,penalty_repair,10,recovery_anchor,4,10,0.400000,native_within_N_claim_scope
N40,penalty_repair,10,penalty_repair,6,10,0.600000,native_within_N_claim_scope
N40,penalty_repair,10,method_c,0,10,0.000000,native_within_N_claim_scope
N40,penalty_repair,10,other,0,10,0.000000,native_within_N_claim_scope
